EnsemlID,WT_interaction_score
ENSG00000166548,1.230373569
ENSG00000170876,-0.371075736
ENSG00000160183,9.633427753
ENSG00000166682,4.023863879
ENSG00000164761,0.250675579
ENSG00000240505,-0.652787353
ENSG00000028137,0.602643108
ENSG00000114854,-1.032462331
ENSG00000130598,-0.733935589
ENSG00000129991,2.029961073
ENSG00000118194,-0.139250152
ENSG00000136827,-0.385214576
ENSG00000141510,1.900430273
ENSG00000073282,0.310269122
ENSG00000139287,-0.144645966
ENSG00000140416,0.110127455
ENSG00000198467,-0.402728404
ENSG00000143549,-0.200749938
ENSG00000137364,-0.733268924
ENSG00000115705,-0.097149603
ENSG00000166340,1.927235735
ENSG00000101255,1.025412475
ENSG00000119401,3.671972738
ENSG00000108395,5.640441604
ENSG00000132256,-0.493689894
ENSG00000104447,0.031106896
ENSG00000123297,3.077349801
ENSG00000134200,0.747486356
ENSG00000165409,0.384411226
ENSG00000139908,5.271001914
ENSG00000118271,0.115169105
ENSG00000101162,8.441834664
ENSG00000137285,1.415175012
ENSG00000178952,0.944207895
ENSG00000178952,-0.255524891
ENSG00000112041,0.621018044
ENSG00000011600,-0.458502517
ENSG00000154277,0.808631977
ENSG00000109424,3.049624203
ENSG00000175567,1.276897713
ENSG00000242515,1.267849134
ENSG00000114491,0.954978691
ENSG00000164405,3.369251566
ENSG00000126088,-1.361922994
ENSG00000188690,-0.806223533
ENSG00000182040,-0.921927992
ENSG00000173218,0.90721844
ENSG00000173218,2.461750349
ENSG00000162692,0.382449427
ENSG00000165280,0.38787302
ENSG00000111424,1.262842207
ENSG00000134086,2.684146304
ENSG00000167397,-1.659866405
ENSG00000112761,-0.301742644
ENSG00000162552,0.693483071
ENSG00000154764,1.499119165
ENSG00000141499,0.920617699
ENSG00000152422,-0.215170027
ENSG00000134684,-1.047712278
ENSG00000188706,0.926277402
ENSG00000204644,-0.33164879
ENSG00000155256,-0.865653882
ENSG00000172466,-0.061878892
