"phenotypeID" "num_of_snps" "num_of_pos_snsps" "proportion_of_pos_snps" "mean_beta" "pos_to_neg_effect_weight"
"254" "PGS001049" 3 1 0.333333333333333 -0.000822061666666667 0.212254773598371
"255" "PGS001050" 2 0 0 -0.0024041495 0
"256" "PGS001052" 5 3 0.6 -0.00042507682 0.782910417621114
"257" "PGS001053" 3 1 0.333333333333333 0.000265901566666667 3.44613430568925
"258" "PGS001054" 3 2 0.666666666666667 0.00208536666666667 2.5255476374873
"259" "PGS001055" 8 1 0.125 -0.00033394171375 0.519178470728258
"260" "PGS001056" 1 0 0 -0.00028947 0
"261" "PGS001057" 3 2 0.666666666666667 0.00213599733333333 6.707931344403
"262" "PGS001058" 1 1 1 0.001995251 Inf
"263" "PGS001060" 4 1 0.25 -0.00022698635 0.52834382519745
"264" "PGS001062" 6 3 0.5 5.30599166666667e-05 1.06407351148854
"265" "PGS001066" 1 0 0 -0.0007898532 0
"266" "PGS001067" 3 2 0.666666666666667 -0.000526137883333333 0.59198566637155
"267" "PGS001069" 7 4 0.571428571428571 0.00132776714285714 4.7076631562151
"268" "PGS001071" 6 3 0.5 -6.32565666666667e-05 0.945205379380945
"269" "PGS001074" 4 2 0.5 0.0005323377 1.4223514487164
"270" "PGS001075" 7 4 0.571428571428571 0.000261738728571429 2.52491758972994
"271" "PGS001076" 12 7 0.583333333333333 -0.000493622069 0.727589671870759
"272" "PGS001077" 22 14 0.636363636363636 0.00641680657272727 2.87240821765788
"273" "PGS001078" 13 5 0.384615384615385 -0.00703766075384615 0.0800248835027894
"274" "PGS001079" 27 11 0.407407407407407 0.000151189144074074 1.36118841130164
"275" "PGS001080" 5 3 0.6 0.0007081205 3.54225090791021
"276" "PGS001083" 4 2 0.5 1.166487625 1.34706179617617
"277" "PGS001084" 4 2 0.5 0.000151546325 1.43424620852748
"278" "PGS001086" 2 1 0.5 -0.0007728603 0.351198903974352
"279" "PGS001087" 10 7 0.7 0.00076987922 2.10613161726727
"280" "PGS001088" 4 3 0.75 0.00281807425 1.89910084308424
"281" "PGS001089" 2 1 0.5 0.0028126185 6.08447740553439
"282" "PGS001090" 13 5 0.384615384615385 -0.00201629386923077 0.462552290891691
"283" "PGS001092" 1 0 0 -0.001063713 0
"284" "PGS001093" 4 3 0.75 0.001436093955 2.14895168418217
"285" "PGS001094" 5 2 0.4 0.00051695916 1.29842174265004
"286" "PGS001095" 7 5 0.714285714285714 0.00102744708571429 1.85051494724703
"287" "PGS001096" 2 2 1 0.0025824693 Inf
"288" "PGS001098" 1 1 1 0.003545576 Inf
